wave,field,type,allowed_values_or_range,role,construction_or_direction,missingness
baseline,user_id,integer,"positive integer; unique within wave",wave join key,"opaque numeric study identifier; numeric ordering has no substantive meaning",none
baseline,treatment,logical,"TRUE; FALSE",design assignment,"TRUE is treatment and FALSE is control",none
baseline,baseline_utility,numeric,finite positive numeric,baseline covariate and utility-figure input,"provided composite; higher means greater need for in-person access",may be missing; model-specific complete cases
baseline,health_probability,numeric,0 to 1,descriptive baseline measure,"provided probability of being healthy; higher means greater probability",may be missing; summaries omit missing values
baseline,group_id,integer,positive integer,working-group label,"recorded non-identifying group label; numeric ordering has no substantive meaning",none
baseline,randomization_stage,character,"initial_group; later_individual",design stage,"initial_group identifies the initial group-randomized stage; later_individual identifies the separately randomized later stage",none
baseline,randomization_unit,character,"opaque group_### or individual_### label",randomization-unit key,"group labels are shared within initial-stage working groups; individual labels identify singleton units in the later stage; labels have no substantive order",none
baseline,cluster_robustness_sample,logical,"TRUE; FALSE",analysis-sample field,"TRUE identifies observations retained in the initial group-randomized robustness sample; FALSE identifies later-stage observations or the single initial-stage assignment exception",none
baseline,role,integer-coded categorical,"1; 2; 3; 4",baseline covariate,"1 taught student; 2 research student; 3 researcher; 4 staff; analysis derives academics as codes 1-3 versus staff as code 4",none
baseline,gender,integer-coded categorical,"1; 2; 4","baseline covariate and balance measure","1 female; 2 male; 4 prefer not to say; categories are nominal",none
baseline,age,integer,"20 to 80 years in released data","baseline covariate and descriptive measure",age in completed years; higher means older,may be missing; model-specific complete cases
baseline,illness,integer-coded categorical,"1; 2; 3","baseline covariate and balance measure","recent COVID-19 recovery: 1 yes; 2 no; 3 prefer not to say",none
baseline,dependants,integer,"0 to 8 in released data",descriptive measure,recorded number of dependants; higher means more dependants,none
baseline,household_size,integer,"0 to 8 in released data","baseline covariate and balance measure",recorded household-size response; higher means a larger household,none
baseline,socioeconomic_class,integer,1 to 10,descriptive measure,"recorded MacArthur-ladder response; higher means higher perceived socioeconomic position",may be missing; summaries omit missing values
baseline,socioeconomic_overall,numeric,1 to 5,"baseline covariate and balance measure","provided socioeconomic composite; higher means higher socioeconomic position",none
baseline,digital_media_overall,numeric,1 to 5,"baseline covariate and balance measure","provided digital-resources composite; higher means greater digital access or use",none
baseline,sociability,numeric,0 to 100,"baseline covariate and balance measure",recorded sociability score; higher means greater sociability,may be missing; model-specific complete cases
baseline,fear,integer,1 to 5,baseline covariate,recorded fear-of-COVID-19 response; higher means greater fear,none
baseline,stress1,integer,1 to 5,stress item,recorded response; higher contributes to higher stress,item may be missing; aggregate uses available items
baseline,stress2,integer,1 to 5,reverse-scored stress item,recorded response; analysis uses 6 minus response,item may be missing; aggregate uses available items
baseline,stress3,integer,1 to 5,reverse-scored stress item,recorded response; analysis uses 6 minus response,item may be missing; aggregate uses available items
baseline,stress4,integer,1 to 5,stress item,recorded response; higher contributes to higher stress,item may be missing; aggregate uses available items
baseline,life_satisfaction,integer,1 to 10,baseline outcome and covariate,recorded response; higher means greater life satisfaction,may be missing; model-specific complete cases
baseline,institute_satisfaction,integer,1 to 10,baseline covariate and descriptive measure,recorded response; higher means greater institutional satisfaction,none
baseline,psychosocial_overall,numeric,1 to 5,descriptive composite,"provided psychosocial composite; higher means a higher value under the source-item coding",none
baseline,performance,integer,"1; 2; 3; 4 observed",baseline outcome and covariate,raw recorded Performance response; higher codes indicate worse performance,may be missing; model-specific complete cases
baseline,learning,integer,1 to 10,baseline outcome and covariate,raw recorded response; higher means better learning,none
baseline,productivity,integer,"1; 2; 3; 4 observed",baseline outcome and covariate,raw recorded response; higher codes indicate worse productivity,may be missing; model-specific complete cases
baseline,supervisor_goals,integer,1 to 5,"baseline outcome and balance measure",raw recorded ordinal response; higher means a higher response category,may be missing; model-specific complete cases
baseline,own_goals,integer,1 to 5,"baseline outcome and balance measure",raw recorded ordinal response; higher means a higher response category,may be missing; model-specific complete cases
endline,user_id,integer,"positive integer; unique within wave",wave join key,"opaque numeric study identifier; joins to baseline; numeric ordering has no substantive meaning",none
endline,treatment,logical,"TRUE; FALSE",design assignment and summary field,"TRUE is treatment and FALSE is control",none
endline,baseline_utility,numeric,finite positive numeric,endline summary field,"baseline utility carried into the endline analytic input; higher means greater need for in-person access",may be missing; summaries omit missing values
endline,health_probability,numeric,0 to 1,endline summary field,"baseline health probability carried into the endline analytic input; higher means greater probability of being healthy",may be missing; summaries omit missing values
endline,group_id,integer,positive integer,working-group label,"recorded non-identifying group label; joins to baseline; numeric ordering has no substantive meaning",none
endline,randomization_stage,character,"initial_group; later_individual",design stage,"carried from the matched baseline record; initial_group identifies the initial group-randomized stage and later_individual the separately randomized later stage",none
endline,randomization_unit,character,"opaque group_### or individual_### label",randomization-unit key,"carried from the matched baseline record; group labels are shared within initial-stage working groups and individual labels identify singleton later-stage units",none
endline,cluster_robustness_sample,logical,"TRUE; FALSE",analysis-sample field,"carried from the matched baseline record; TRUE identifies observations retained in the initial group-randomized robustness sample",none
endline,sociability,numeric,0 to 100,endline descriptive measure,recorded sociability score; higher means greater sociability,may be missing; summaries omit missing values
endline,fear,integer,1 to 5,endline descriptive measure,recorded fear-of-COVID-19 response; higher means greater fear,may be missing; summaries omit missing values
